session_1,session_2,session_3,session_4,final
8.09605698361348,8.100591420415052,7.1052059868935125,8.324785083272193,9.608386339974421
7.334082838594578,8.215737851396371,7.427782751763636,9.546170784601486,7.59340161098685
8.277226245720831,6.983970334105811,8.996752326147913,7.217128744397348,9.743527104126791
9.32763582768963,8.078704436593204,8.832444318520157,9.004855818621413,10.0
7.219015950331997,8.151686967958417,8.074918087243022,7.763690857953071,9.196121883868441
7.219035651660984,6.942778298368358,8.240792859970538,7.448552601285186,10.0
9.39505537860887,10.0,9.63319787494611,8.27156356805453,7.771452961075712
8.420921674983491,8.368599505094146,7.390114333397004,7.1577092130967515,7.2064143560263
6.936630736878057,6.370435803356822,8.756516857404046,7.735620833583381,6.565535701314865
8.151072052303158,8.587864330360595,7.857368817079327,6.962546528893382,10.0
6.943898768625045,6.630381995727214,7.838782556127335,10.0,9.48523878762487
6.941124295715692,8.744501524490943,9.418532222384627,8.442316262366074,8.633298394907454
7.790354725879241,9.190314694808885,9.090499618785636,7.5603293904088975,9.035962351583784
5.2040637064106425,6.815181217977948,9.076211563200767,8.656775892881067,7.349413143241948
5.43009860098436,8.956051355093187,9.666574568585194,8.265206340371003,10.0
6.825254964910833,8.295337112323798,8.125204609959312,8.134836480560132,8.855065418370273
6.284602655598691,8.786472191993388,8.918343565553956,9.137000040052111,8.83127375352587
7.877096799114328,10.0,7.727679892087853,9.309009252056766,9.57091994867843
6.410371109374547,7.505534260796555,8.48899962298613,7.763398622867367,9.277211078084054
5.8052355583976505,6.895516602771012,7.943828334758778,7.709018111226383,8.968660829134958
9.258778522705864,6.732582684449372,8.216395157991261,8.069937963418027,7.751430653465626
7.2290684394161575,6.821027658041474,8.814188430524297,5.637694602317298,9.265762028563195
7.581033845625509,7.707477948703075,7.1181351801198325,6.5817707253617375,10.0
5.790302176543852,8.209382369779973,10.0,10.0,10.0
6.846740730569781,8.132028959196024,6.892779142200357,10.0,10.0
7.633107107651839,8.79261989884323,6.642973664654721,8.101156752532345,8.086541188282578
6.118807707093237,7.815602270253488,9.489733048200081,9.09186835566692,7.512474215689703
7.950837622014807,9.544240892588782,9.049995232755522,8.773500185452244,8.549055695880423
6.779233572097434,7.482411800114453,8.848943780462585,10.0,8.766869894746433
7.149967500248068,10.0,8.854014611117135,9.743489893721492,10.0
6.777952065324723,8.550800817318008,8.085303872583703,8.24649889022308,6.6690424443422165
9.722733821410724,6.771410932300461,7.023294754217002,7.253351471279489,10.0
7.483803330314479,6.514929002326665,8.190965469832472,6.472264415690914,8.510390521705212
6.23074688525292,8.378966898291823,7.287405946185466,8.644156363040668,8.187742716063095
8.487053894523827,7.531844657608978,9.2701436801013,7.492379105658836,7.485474749687799
6.034987620034773,8.65680059291051,7.923531142197433,6.693295548482791,6.714171993761077
7.750636314005707,8.367885149488254,7.109403363848986,7.6241125389089675,9.687804700754297
5.14839585134427,7.712605304811753,7.714336990016408,7.102142395662726,8.787981560626084
5.906176741321883,6.7838475383179135,8.59551774513075,10.0,7.1520469203107355
7.736233483042948,5.982183330376962,7.42353053663523,9.457967708339341,7.145905473523661
8.386159895994492,7.264182057519575,7.113335525320282,8.390432830420059,8.297058360851846
7.7056419374279645,8.827678553188168,8.392424653790295,10.0,10.0
7.361222061134112,8.056912492956245,8.393959885330467,8.492841969177142,8.388490378363674
7.1386755652928535,6.305113465545614,7.491668189554644,7.366458958406083,6.896228456258273
5.725773611559087,8.007817111021419,7.534754033258013,10.0,8.405108323096867
6.6361869499263495,8.262380855674605,8.378459924829164,9.04669205242159,8.372731716302795
6.947233474848255,6.7393710765586405,6.36229879020321,7.1553046148082515,5.463736028470114
8.7685466714627,7.984470127134633,6.411043470748133,8.17159358629967,8.634846160178625
7.912341947482154,7.8698504621352,7.2378669344970765,7.349258095938291,8.422878563749586
