attended,age,experience_years,field_econ,field_stat,field_comp,earnings_pre,earnings_post
1.0,38.97371322408986,12.457809516380005,0,1,0,56919.168847227396,69116.57993430771
1.0,33.893885590630525,1.70694929987536,1,1,1,46207.88485959166,58256.45707512876
1.0,40.18150830480554,1.033634423372154,1,0,1,55603.16867556668,60613.06616321302
1.0,47.184238851264205,10.62709263136296,1,0,0,106341.04491519599,120787.26126531941
1.0,33.12677300221331,10.81270243220213,1,0,0,56265.027779201424,67362.1660488725
1.0,33.126904344406555,12.748598029964132,0,1,0,145809.55162093477,155760.95439299327
1.0,47.63370252405913,14.52182667445323,1,0,0,92332.94752202224,109829.46715812638
1.0,41.13947783322327,19.51704158925069,1,0,0,84620.90309237185,101844.6970319216
1.0,31.244204912520384,10.326006966023906,1,1,1,58541.055495469656,66930.19346654207
1.0,39.34048034868772,6.459129458824919,0,1,0,97507.74698522479,116077.62356351761
1.0,31.292658457500302,15.903723895374073,0,0,1,65609.05434405565,75088.17312670487
1.0,31.274161971437945,5.416645025241484,0,1,0,83050.24536613404,85771.03315469368
1.0,36.93569817252828,8.779428414112722,1,0,0,144002.11345671988,156667.55718691318
1.0,19.693758042737617,1.5691276268453191,1,1,0,77598.50250688376,87429.97855924926
1.0,21.200657339895738,0.5070148683091502,0,0,1,108731.8331571419,115167.87013103419
1.0,30.501699766072218,19.252968293558503,1,0,1,62420.58937185281,72625.62580822276
1.0,26.89735103732461,16.719602410244118,1,1,1,79125.28773757596,100245.1547877609
1.0,37.51397866076219,13.91948412187396,0,0,0,124270.01589088775,139033.2241923373
1.0,27.735807395830314,8.179058888285397,0,0,0,64325.82355530582,76361.56595677655
1.0,23.701570389317666,3.4658864014169155,1,1,1,125311.21394992323,146805.6968614781
1.0,46.72519015137243,3.128740853421721,0,1,0,97693.79838638689,115018.10021429339
1.0,33.19378959610771,5.004857963291906,1,0,0,65938.33060264331,78452.09007846992
1.0,35.54022563750339,10.984533294122409,0,0,0,95810.19347638803,107843.49918093513
1.0,23.602014510292346,14.291918454001246,1,0,1,104313.86124066825,120818.30536510334
1.0,30.64493820379854,13.203947534354626,0,0,1,95545.24905542991,108625.34191958868
1.0,35.88738071767893,5.598677938918857,0,0,0,40744.38200273859,59629.159346179535
1.0,25.79205138062158,19.09730561326388,1,0,1,61821.570604378285,83330.63914674627
1.0,38.00558414676537,14.75793833391537,0,1,1,73812.03411121239,87327.12839449824
1.0,30.194890480649562,11.087081050228013,0,0,0,78139.16427249885,97093.87708665135
1.0,32.666450001653786,12.234414924687044,0,0,0,95516.80243876696,109725.81625034974
1.0,30.186347102164824,8.392001248555799,1,0,1,84442.52502333134,101892.1121285405
1.0,49.818225476071504,4.954619790023149,1,1,0,46616.39103224747,58993.64797540238
1.0,34.89202220209653,7.119453573025232,1,0,0,89504.94627514908,110136.20789642948
1.0,26.538312568352797,15.156922209287382,0,0,0,95264.64363209558,100774.43434956914
1.0,41.58035929682551,0.28786977259511737,0,0,1,93994.761198276,112726.74757890422
1.0,25.233250800231822,2.3214528101383247,0,0,1,107019.51813886555,116337.25125589201
1.0,36.670908760038046,0.920052840435055,0,0,1,100848.0538637226,109693.21425042803
1.0,19.322639008961794,0.8145760463794027,0,1,0,91479.50198071092,98750.15311726338
1.0,24.374511608812554,17.109211680220145,0,1,1,78245.85721353382,89345.47840793447
1.0,36.57488988695299,14.073157187600474,0,0,1,38475.97666210021,47929.11945549891
1.0,40.907732639963285,9.483476581746505,1,0,0,90740.45547831465,106347.27361513552
1.0,36.37094624951976,1.9566832130200296,0,1,1,85192.19217907779,96824.27904421167
1.0,34.07481374089408,9.832317502336647,0,1,0,86789.47092988434,92686.49104086506
1.0,32.59117043528569,9.469435415611313,1,0,0,48081.28560449227,71914.80710709431
1.0,23.17182407706058,3.4640373982003037,0,0,0,52973.58648979344,77294.30931771688
1.0,29.24124633284233,8.67703298475946,1,0,0,106328.82133332259,116881.51662561913
1.0,31.3148898323217,7.970094687947469,1,0,0,79011.12115358362,96218.85570493774
1.0,43.45697780975132,12.31700196104433,1,1,0,97037.51743431561,110894.73109600505
1.0,37.74894631654769,12.701873017352876,0,1,0,80707.95940326153,93660.5136996384
1.0,20.89567875709813,0.9060801954408904,1,1,1,80743.90348739363,87462.63342842848
1.0,37.592671755158364,7.492252292529424,0,0,0,103457.09514939995,115845.19319984839
1.0,31.919341756669468,12.517198314284727,0,0,0,67098.88179456565,70983.97759941492
1.0,29.58462399755233,10.062725171601754,0,1,0,82403.01942352459,98015.4030138901
1.0,39.89341031072694,17.129796823766444,1,1,1,68443.11778237394,80917.07670164955
1.0,43.24799617996761,13.1738726323789,0,0,0,69137.59431419212,79229.74447480348
1.0,42.45024095292959,3.258688541628594,0,1,0,72270.69691328402,87899.48723901925
1.0,28.28625981421889,1.4113749480085969,1,1,1,85553.34429084283,91090.83779178502
1.0,32.52630099319028,12.848385564126312,0,0,0,68031.28445841307,69997.68713296959
1.0,37.650107451228514,0.5302262108324363,0,0,0,111393.90313933801,122309.57240436856
1.0,42.80436101697887,11.715511625469265,0,0,0,57634.8174445124,78578.58848320448
1.0,31.16660609723768,18.80460482849915,0,0,1,75328.20889596602,99021.77771503817
1.0,33.51472818668946,11.50948355751758,0,0,0,69006.72354314562,80539.71659152246
1.0,26.149320207951774,7.763398524130438,0,1,1,116174.44710884332,130290.91298198207
1.0,25.430347007354634,12.865764368847064,1,0,0,84913.86941278937,95772.10171620143
1.0,41.500206579153584,9.165057809830333,0,0,1,105796.11348671587,120572.27008694933
1.0,45.84992022856658,10.9123357863187,0,0,1,42860.9906740757,59704.44110242878
1.0,34.42391902735733,18.8292961755305,1,0,1,86676.25664673148,108895.85965874366
1.0,43.02826318313619,7.722052756015485,0,1,0,102240.76989058593,107538.7626238478
1.0,37.89308820038107,19.223811276478283,1,0,1,82057.09973188561,102015.94882998518
1.0,29.839041963159005,18.107012839121275,0,0,0,106637.00937663378,124610.11675476354
1.0,37.89116484406731,3.915822695785929,0,1,0,67067.7887474907,76340.5979542899
1.0,47.304292531727754,1.387226017503309,0,0,0,115233.68600463949,128755.29416268489
1.0,34.713391687120385,2.015560027548533,0,0,1,137472.45309048126,154066.93005196072
1.0,47.51714924651205,0.36443651303099456,0,0,1,70929.03598900852,87102.51176851182
1.0,14.042039167282045,1.888859215118568,0,0,1,68862.4369649807,75752.94281422975
1.0,41.57522003500179,13.660135468327137,0,0,0,116334.61192794252,120982.79622757893
1.0,35.696376545905366,1.4237729692045797,0,0,0,119489.3036432678,125852.91716900068
1.0,32.60794119627306,6.379512605875226,0,0,1,66928.49932116829,86316.11839820274
1.0,35.73408621228402,16.89750621938909,0,1,0,69495.32957260357,80903.23052705411
1.0,19.099448683192858,0.4654387147165173,0,0,0,72955.38477848732,76643.64133919934
1.0,33.242624897299905,16.289369651778717,0,0,0,46388.73722414307,63412.96659097769
1.0,37.85690057209397,5.637095495467999,1,0,0,57033.70133789504,62269.98678704304
1.0,46.82315235793213,2.363296552433125,0,0,0,54896.48083119831,72622.09659843915
1.0,30.85383825381082,13.934743307283012,1,0,0,60805.06087239679,66621.96430186121
1.0,28.532051176854498,12.57885693559768,1,0,0,79132.87781533047,89566.16118395752
1.0,30.98594365132371,17.54944027054106,0,1,0,85855.36831341303,91960.34988070888
1.0,42.32321694161659,14.701420876077716,1,0,1,118762.51232035193,127046.3343907107
1.0,37.630008877277476,16.06961860769697,1,0,0,55041.14898153023,71974.45928585688
1.0,30.76191836986369,5.64069145142613,0,0,0,104608.0599619146,115071.73089757084
1.0,39.106139464906846,3.5487908755944564,0,1,0,74650.27889436227,89347.8917216039
1.0,35.776620394784324,15.012295032817168,1,0,0,78763.40725868917,88524.5330033641
1.0,42.74915992426311,16.13669478534528,1,0,1,96870.48730416509,114231.81848889028
1.0,29.38357524898118,19.810102840013467,0,0,1,51931.94946094253,63791.17964615759
1.0,32.37870282721786,8.25235353822853,0,1,0,89560.24365460126,92878.04705517988
1.0,31.86313477494274,7.440361715855664,0,0,0,84161.3052053264,102752.1688332733
1.0,23.29188041494305,15.528259214839936,0,1,1,92311.28160020373,99147.09473902406
1.0,37.36896221651661,6.816070805060357,1,0,1,87229.21609769545,91530.85007650408
1.0,37.08844217743911,18.615146512071295,0,0,0,141382.50349777236,151214.57070301016
1.0,35.04090765313969,17.168255036860238,0,0,0,64056.5003937171,86817.98604438339
1.0,33.123302932998826,8.579880547500366,1,0,0,66725.07612495456,84400.27953416189
1.0,23.677034063596686,15.017421355829947,0,0,1,64421.48683938089,74603.14529110616
1.0,31.63483741787713,15.090857481693646,0,0,0,66113.07202099363,78820.08239700235
1.0,32.25828386778584,2.062477376718652,1,1,1,64065.321817337055,78627.7692083021
1.0,28.58178184622705,18.051058133591333,1,0,0,109725.4132776888,133782.5841145486
1.0,33.70971430667193,10.105047448957142,0,0,0,115512.60619974637,129453.34132043428
1.0,38.232406854516306,16.529149322154833,0,0,0,65731.34265626309,75946.04219516796
